ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
268	0	0			161	75
269	0	0			79	75
270	0	0			204	75
271	0	0			200	75
272	0	0			114	75
273	0	0			126	75
274	0	0			87	75
275	0	0			90	75
276	0	0			78	75
277	0	0			123	75
278	0	0			94	75
279	0	0			94	75
280	0	0			196	75
281	0	0			93	75
282	0	0			93	75
283	0	0			97	75
284	0	0			130	75
285	0	0			96	75
286	0	0			141	75
287	0	0			120	75
288	0	0			96	75
289	0	0			141	75
290	0	0			120	75
291	0	0			96	75
292	0	0			141	75
293	0	0			120	75
294	0	0			204	75
295	0	0			204	75
296	0	0			247	75
297	0	0			118	75
298	0	0			117	75
299	0	0			143	75
300	0	0			157	75
301	0	0			185	75
302	0	0			93	75
303	0	0			103	75
304	0	0			99	75
305	0	0			95	75
306	0	0			186	75
307	0	0			130	75
308	0	0			119	75
309	0	0			142	75
310	0	0			182	75
311	0	0			3705	75
312	0	0			79	75
313	0	0			88	75
314	0	0			237	75
315	0	0			339	75
316	0	0			177	75
317	0	0			144	75
318	0	0			113	75
319	0	0			117	75
320	0	0			135	75
321	0	0			155	75
322	0	0			155	75
323	0	0			91	75
324	0	0			79	75
325	0	0			204	75
326	0	0			200	75
327	0	0			204	75
328	0	0			99	75
329	0	0			186	75
330	0	0			130	75
331	0	0			182	75
332	0	0			634	75
333	0	0			79	75
334	0	0			79	75
335	0	0			88	75
336	0	0			235	75
337	0	0			132	75
338	0	0			151	75
339	0	0			137	75
340	0	0			190	75
341	0	0			84	75
342	0	0			112	75
343	0	0			159	75
344	0	0			78	75
345	0	0			78	75
346	0	0			78	75
347	0	0			78	75
348	0	0			78	75
349	0	0			102	75
350	0	0			191	75
351	0	0			103	75
352	0	0			93	75
353	0	0			248	75
354	0	0			78	75
355	0	0			78	75
356	0	0			78	75
357	0	0			78	75
358	0	0			78	75
359	0	0			128	75
360	0	0			78	75
361	0	0			144	75
362	0	0			78	75
363	0	0			128	75
364	0	0			131	75
365	0	0			78	75
366	0	0			248	75
367	0	0			78	75
368	0	0			112	75
369	0	0			122	75
370	0	0			248	75
371	0	0			112	75
372	0	0			159	75
373	0	0			78	75
374	0	0			128	75
375	0	0			131	75
376	0	0			78	75
377	0	0			122	75
378	0	0			84	75
379	0	0			78	75
380	0	0			103	75
381	0	0			93	75
382	0	0			248	75
383	0	0			84	75
384	0	0			78	75
385	0	0			112	75
386	0	0			159	75
387	0	0			78	75
388	0	0			128	75
389	0	0			131	75
390	0	0			78	75
391	0	0			103	75
392	0	0			93	75
