ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
219	2	0			150	118
220	574	6			150	150
221	574	12			150	150
222	0	0			150	150
223	0	0			150	150
224	0	0			150	150
225	204	138			150	150
226	2	5			150	122
227	2	361			150	150
228	323	454			150	150
229	82	115			150	150
230	0	0			150	150
231	19	0			106	150
232	50	46			150	150
233	1	14			97	97
234	0	0			111	150
235	0	0			150	103
236	0	0			150	150
237	9	5			150	150
238	26	52			150	150
239	36	66			147	150
240	0	0			150	150
241	1	0			136	150
242	0	0			147	150
243	45	0			133	150
244	76	104			150	143
245	30	0			150	150
246	0	6			148	150
247	1	9			150	150
248	156	222			150	150
249	71	74			150	138
250	120	135			150	143
251	1087	18			150	150
252	1836	22			150	141
253	4	5			150	150
254	0	5			150	150
255	0	0			150	150
256	37	28			150	136
257	27	0			150	120
258	27	268			150	150
259	93	2413			150	129
260	8	1168			150	129
261	0	0			150	150
262	0	0			150	150
263	3	6			124	121
264	4	5			150	150
265	887	726			150	150
266	702	1151			150	117
267	0	0			122	119
268	13	18			150	141
269	52	13			150	150
270	99	92			150	137
271	340	358			150	150
272	36	79			150	150
273	120	147			150	150
274	0	0			150	118
275	5	0			150	150
276	77	1			85	85
277	0	1			150	150
278	30	29			150	150
279	0	0			143	143
280	0	0			103	143
281	0	0			150	150
282	264	482			150	150
283	76	475			150	150
284	23	475			131	150
285	23	76			131	150
286	27	265			131	150
287	0	1			150	150
288	28	61			150	150
289	66	2			138	150
290	258	123			150	113
291	527	0			150	150
292	6	12			150	150
293	47	52			150	150
294	0	0			150	150
295	0	0			150	150
296	0	0			150	150
297	0	0			150	150
298	4	6			150	150
299	7	4			150	150
300	1	4			150	150
301	5	0			133	102
302	70	60			150	150
303	70	84			150	150
304	29	16			150	150
305	0	0			150	150
306	20	75			150	150
307	107	118			150	150
308	60	60			150	150
309	0	0			150	132
310	27	87			150	150
311	98	108			150	150
312	105	59			144	150
313	0	0			150	150
314	0	0			150	150
315	0	0			150	150
316	0	0			150	150
317	23	13			150	150
318	0	1			150	150
319	0	1			150	150
320	0	0			125	143
321	0	0			150	150
322	0	0			150	150
323	0	0			150	150
324	0	0			150	150
325	0	6			150	150
326	0	0			150	136
327	0	4			116	150
328	1	246			123	150
329	0	0			150	150
330	0	32			150	141
331	106	160			150	150
332	66	5			150	150
333	129	112			150	150
334	5	0			150	150
335	0	0			150	150
336	5	0			150	150
337	4	0			150	150
338	3	0			150	150
339	0	5			150	150
340	5	5			150	150
341	4	5			150	150
342	5	0			150	150
343	4	0			150	150
344	4	5			150	150
345	1	2			150	150
346	54	56			145	150
347	48	40			150	150
348	3	47			150	150
349	3	23			150	150
350	23	57			150	150
351	13	23			150	150
352	0	0			150	150
353	0	0			150	150
354	0	0			150	121
355	81	81			150	150
356	8	76			150	150
357	54	76			117	150
358	54	8			117	150
359	54	92			117	150
360	16	15			150	108
361	18	24			108	150
362	44	93			122	150
363	95	397			150	135
364	130	173			150	150
365	36	74			117	149
366	0	3			131	125
367	80	0			150	150
368	40	0			150	150
369	8	210			150	150
370	132	210			150	150
371	2	3			149	150
372	3	74			124	150
373	4	4			148	150
374	0	0			150	150
375	21	15			150	150
376	2	47			150	144
377	6	9			150	150
378	744	887			150	150
379	2	1			150	150
380	15	36			138	150
381	0	0			120	120
382	7	3			133	150
383	16	0			150	114
384	81	133			150	150
385	42	14			150	134
386	4	13			127	126
387	2	3			150	150
388	24	45			129	150
389	80	58			150	150
390	0	3			150	123
391	5	3			150	150
392	7	226			150	143
393	12	226			150	143
394	0	0			150	150
395	0	0			129	150
396	132	110			150	144
397	44	48			150	150
398	32	47			150	150
399	159	90011			150	150
400	0	78			100	100
401	44	102			119	150
402	46	1			127	119
403	0	2			150	95
404	451	643			150	150
405	1	0			150	96
406	33	19			150	148
407	16	13			148	139
408	502	499			150	150
409	0	0			135	150
410	2	0			150	150
411	0	0			150	150
412	24	33			150	150
413	0	0			150	150
414	40	58			150	150
415	30	15			150	150
416	58	18			150	150
417	6	0			150	142
418	8	4			150	150
419	39	45			136	150
420	2	0			150	138
421	2	2			150	147
422	0	2			138	147
423	22	53			123	150
424	6	37			150	147
425	19	37			150	147
426	0	0			150	150
427	58	59			150	150
428	7	59			150	150
429	0	0			150	150
430	52	67			150	150
431	119	23			150	150
432	16	129			117	150
433	253	1			150	150
434	255	287			150	150
435	192	265			150	150
